;id;amount_ethereum;amount_dollars;transaction_date
3885;3350;5.25Ξ;($1,900);Sep 28, 2020
3886;3350;0.43Ξ;($74);May 06, 2019
3887;3352;0.90Ξ;($362);Aug 29, 2020
3888;3353;0.45Ξ;($122);May 27, 2019
3889;3355;13.83Ξ;($26,366);Feb 18, 2021
3890;3355;3.50Ξ;($1,211);Sep 24, 2020
3891;3355;1Ξ;($399);Aug 05, 2020
3892;3355;0.82Ξ;($170);May 17, 2020
3893;3355;0.49Ξ;($71);Jan 07, 2020
3894;3355;0.35Ξ;($77);Jul 26, 2019
3895;3355;0.25Ξ;($55);Jul 19, 2019
3896;3356;0.35Ξ;($67);Jul 11, 2017
3897;3357;20.50Ξ;($58,575);May 01, 2021
3898;3357;2.90Ξ;($1,025);Sep 26, 2020
3899;3357;2.50Ξ;($877);Sep 26, 2020
3900;3357;2.30Ξ;($779);Sep 24, 2020
3901;3359;0.36Ξ;($69);Jul 11, 2017
3902;3360;23Ξ;($45,762);Feb 20, 2021
3903;3360;22Ξ;($39,664);Feb 17, 2021
3904;3361;11Ξ;($6,652);Dec 23, 2020
3905;3361;3.95Ξ;($1,451);Sep 14, 2020
3906;3361;2.50Ξ;($909);Sep 13, 2020
3907;3361;1.15Ξ;($220);May 10, 2020
3908;3362;24Ξ;($47,350);Feb 21, 2021
3909;3363;0.05Ξ;($16);Jun 28, 2017
3910;3364;18.80Ξ;($32,035);Mar 28, 2021
3911;3364;6.99Ξ;($10,906);Feb 03, 2021
3912;3364;1.05Ξ;($235);Feb 10, 2020
3913;3365;32Ξ;($93,620);May 02, 2021
3914;3365;29.90Ξ;($87,220);May 01, 2021
3915;3365;31Ξ;($74,591);Apr 17, 2021
3916;3365;0.39Ξ;($86);Nov 06, 2018
3917;3366;24.30Ξ;($45,108);Mar 14, 2021
3918;3366;13.50Ξ;($24,524);Feb 15, 2021
3919;3366;10Ξ;($18,221);Feb 15, 2021
3920;3366;1.99Ξ;($483);Jul 22, 2020
3921;3366;0.11Ξ;($20);Sep 11, 2018
3922;3369;5.58Ξ;($1,939);Oct 04, 2020
3923;3369;4.79Ξ;($1,741);Sep 28, 2020
3924;3369;4.20Ξ;($1,503);Sep 28, 2020
3925;3369;3.90Ξ;($1,395);Sep 28, 2020
3926;3369;1.80Ξ;($667);Sep 20, 2020
3927;3370;27Ξ;($41,756);Mar 02, 2021
3928;3370;0.14Ξ;($161);Jan 20, 2018
3929;3371;0.30Ξ;($26);Dec 16, 2018
3930;3371;0.18Ξ;($50);Jul 03, 2017
3931;3372;0.70Ξ;($112);Jan 25, 2020
3932;3373;0.75Ξ;($232);Jun 28, 2019
3933;3373;0.20Ξ;($84);Dec 07, 2017
3934;3374;0.28Ξ;($54);Oct 12, 2018
3935;3376;4Ξ;($1,644);Oct 24, 2020
3936;3376;0.26Ξ;($153);Jun 08, 2018
3937;3377;0.15Ξ;($57);Apr 04, 2018
3938;3378;0.50Ξ;($96);Apr 23, 2020
3939;3378;0.48Ξ;($69);Jan 07, 2020
