,id,amount_ethereum,amount_dollars,transaction_date
162,8098,1.50Ξ,($300),"May 26, 2020"
163,8098,0.30Ξ,($113),"Aug 07, 2018"
164,8099,0.31Ξ,($69),"Jul 18, 2017"
165,8100,4Ξ,"($1,361)","Sep 06, 2020"
166,8100,<0.01Ξ,($<0.01),"Aug 20, 2020"
167,8101,2.50Ξ,($961),"Sep 20, 2020"
168,8103,30Ξ,"($53,525)","Mar 18, 2021"
169,8103,11.50Ξ,"($20,799)","Feb 14, 2021"
170,8104,0.54Ξ,($107),"Apr 29, 2020"
171,8105,50Ξ,"($77,528)","Feb 03, 2021"
172,8107,2.90Ξ,"($1,022)","Sep 26, 2020"
173,8107,2.75Ξ,"($1,046)","Sep 20, 2020"
174,8108,14.88Ξ,"($28,304)","Feb 18, 2021"
175,8108,4.80Ξ,"($1,690)","Oct 02, 2020"
176,8108,3.27Ξ,"($1,173)","Sep 28, 2020"
177,8108,1.08Ξ,($397),"Sep 10, 2020"
178,8108,0.91Ξ,($192),"May 19, 2020"
179,8109,22Ξ,"($45,940)","Apr 09, 2021"
180,8109,16.50Ξ,"($34,106)","Apr 08, 2021"
181,8113,29.99Ξ,"($67,601)","Apr 13, 2021"
182,8113,24Ξ,"($43,514)","Mar 12, 2021"
183,8116,23.50Ξ,"($41,893)","Mar 19, 2021"
184,8116,24Ξ,"($43,114)","Mar 16, 2021"
185,8122,4.98Ξ,"($1,864)","Oct 12, 2020"
186,8122,1.80Ξ,($617),"Sep 22, 2020"
187,8123,0.11Ξ,($51),"Dec 04, 2017"
188,8124,30Ξ,"($64,869)","Jul 12, 2021"
189,8124,34.99Ξ,"($53,763)","Mar 06, 2021"
190,8124,27Ξ,"($51,800)","Feb 22, 2021"
191,8124,16Ξ,"($28,946)","Feb 14, 2021"
192,8124,0.30Ξ,($63),"Aug 09, 2019"
193,8125,8Ξ,"($9,855)","Jan 24, 2021"
194,8125,0.53Ξ,($92),"May 06, 2019"
195,8130,0.95Ξ,($219),"Mar 06, 2020"
196,8130,0.75Ξ,($139),"Feb 04, 2020"
197,8130,0.49Ξ,($120),"Jun 11, 2019"
198,8132,5.20Ξ,"($6,735)","Jan 28, 2021"
199,8132,5.20Ξ,"($1,836)","Sep 29, 2020"
200,8132,0.46Ξ,($80),"May 06, 2019"
201,8132,0.25Ξ,($25),"Dec 19, 2018"
202,8133,0.08Ξ,($56),"Apr 24, 2018"
203,8134,3.99Ξ,($834),"May 03, 2020"
204,8134,1Ξ,($272),"Jun 20, 2019"
205,8135,1.25Ξ,($252),"May 26, 2020"
206,8139,23.90Ξ,"($46,112)","Jul 16, 2021"
