,human,rarity,traits_range,hidden_traits_range,amount_ethereum
240,1,-1.2238529128840188,-0.15566078099282601,-0.021784217714127415,0.3246462907279661
241,1,-1.2532247125722635,6.424225765937039,-0.021784217714127415,-0.19356178903985774
249,1,-1.7112849219960806,6.424225765937039,-0.021784217714127415,-0.24020051621896188
252,1,-0.1405929672389919,-0.15566078099282601,-0.021784217714127415,0.036752913079175074
257,1,0.03039286666043295,-0.15566078099282601,-0.021784217714127415,0.05978438329107835
258,1,-0.1993365666154814,-0.15566078099282601,-0.021784217714127415,-0.032341497556534766
259,1,-0.17486006687527744,-0.15566078099282601,-0.021784217714127415,0.033873979302687166
260,1,-0.7018041398536685,-0.15566078099282601,-0.021784217714127415,0.4398036417874825
264,1,-1.340990447354995,-0.15566078099282601,-0.021784217714127415,-0.15095356914783667
273,1,-0.14443927434102394,-0.15566078099282601,-0.021784217714127415,0.054026515738102535
280,1,-0.22241440922767372,6.424225765937039,-0.021784217714127415,-0.23732158244247398
281,1,-1.8067432709828761,6.424225765937039,-0.021784217714127415,-0.23847315595306912
283,1,1.4961855368166475,-0.15566078099282601,-0.021784217714127415,0.06542709349299464
285,1,-0.7248819824658608,-0.15566078099282601,-0.021784217714127415,0.11724790146977702
287,1,0.07584922332081175,-0.15566078099282601,-0.021784217714127415,0.08857372105595746
291,1,1.4566734729503183,-0.15566078099282601,-0.021784217714127415,-0.009310027344631489
294,1,-0.06786279658238582,-0.15566078099282601,-0.021784217714127415,-0.11295164329819625
299,1,0.7744784587626334,-0.15566078099282601,-0.021784217714127415,-0.10408452726661349
318,1,1.6787102920221686,-0.15566078099282601,-0.021784217714127415,0.06554225084405417
322,1,-1.5661742449648715,-0.15566078099282601,-0.021784217714127415,-0.0668887028743897
328,1,1.6633250636140404,-0.15566078099282601,-0.021784217714127415,0.0008238195486059443
329,1,1.6024834785455333,-0.15566078099282601,-0.021784217714127415,0.03663775572811554
332,1,1.6185680355176673,-0.15566078099282601,-0.021784217714127415,-0.0036673171427152023
335,1,-0.9137006947474343,6.424225765937039,-0.021784217714127415,0.2094889396684497
338,1,1.096519262487317,-0.15566078099282601,-0.021784217714127415,0.05966922594001882
