,id,total_sold,avg_sold_price,max_sold_price,types,rarity,skin,traits,total_traits,marcador
8931,8931,3.0,2.37,3.49,Male,5860,Mid,"Do-rag,Shadow Beard,Small Shades,Vape",4,1
8932,8932,1.0,23.5,23.5,Female,2205,Dark,"Clown Eyes Blue,Earring,Half Shaved,Hot Lipstick",4,1
8933,8933,4.0,21.7475,30.0,Female,3019,Light,"Dark Hair,Pipe",2,1
8934,8934,2.0,0.68,1.26,Male,4007,Light,"Horned Rim Glasses,Muttonchops,Police Cap",3,1
8936,8936,2.0,31.990000000000002,32.99,Female,3571,Mid,"Earring,Medical Mask,Wild Hair",3,1
8937,8937,4.0,22.4,26.0,Female,9394,Light,"Frumpy Hair,Horned Rim Glasses,Hot Lipstick",3,1
8938,8938,2.0,0.9450000000000001,1.1,Male,5174,Light,"Bandana,Front Beard Dark",2,1
8940,8940,1.0,0.05,0.05,Male,4243,Dark,"Chinstrap,Shaved Head,Smile",3,1
8941,8941,2.0,16.75,18.5,Male,6631,Light,"Headband,Mustache",2,1
8942,8942,1.0,1.65,1.65,Female,5711,Mid,"Blue Eye Shadow,Stringy Hair",2,1
8943,8943,1.0,0.1,0.1,Male,5882,Mid,"Mohawk Dark,Small Shades,Vape",3,1
8944,8944,3.0,18.599999999999998,24.0,Female,8347,Dark,"Clown Eyes Green,Crazy Hair,Earring",3,1
8945,8945,2.0,10.25,18.0,Male,9042,Mid,"Earring,Mohawk Dark,Mole",3,1
8946,8946,9.0,10.141111111111112,28.5,Male,1097,Dark,"Bandana,Rosy Cheeks",2,1
8947,8947,3.0,27.666666666666668,31.0,Male,7131,Light,"Crazy Hair,Earring,Eye Mask",3,1
8949,8949,7.0,2.494285714285714,5.75,Male,5931,Dark,"Classic Shades,Earring,Frumpy Hair,Vape",4,1
8950,8950,1.0,0.25,0.25,Female,8905,Light,"Cigarette,Hot Lipstick,Knitted Cap,Nerd Glasses",4,1
8951,8951,5.0,17.762,32.5,Male,6124,Albino,"Chinstrap,Do-rag,VR",3,1
8952,8952,1.0,0.1,0.1,Female,9900,Mid,"Bandana,Black Lipstick,Regular Shades",3,1
8953,8953,1.0,23.69,23.69,Male,3573,Light,"Medical Mask,Wild Hair",2,1
8954,8954,3.0,7.656666666666666,22.7,Female,9644,Mid,"Black Lipstick,Horned Rim Glasses,Messy Hair",3,1
8956,8956,3.0,13.770000000000001,21.0,Male,5927,Light,"Mohawk,Vape",2,1
