,Type,From,To,Amount,Txn,punk_id
35,Transfer,0xcf6165,0xb88f61,,"Nov 30, 2020",1.0
36,Sold,EliteCat…,0xcf6165,"60Ξ ($36,305)","Nov 30, 2020",1.0
37,Bid,0xcf6165,,"60Ξ ($36,305)","Nov 30, 2020",1.0
38,Offered,,,"79.50Ξ ($46,842)","Nov 25, 2020",1.0
39,Bid Withdrawn,natealex,,"50Ξ ($30,187)","Nov 23, 2020",1.0
40,Bid,natealex,,"50Ξ ($29,918)","Nov 23, 2020",1.0
41,Offered,,,"119.10Ξ ($65,980)","Nov 22, 2020",1.0
42,Offered,,,"249.90Ξ ($90,921)","Sep 15, 2020",1.0
43,Offer Withdrawn,,,,"Sep 14, 2020",1.0
44,Offered,,,"149.50Ξ ($54,973)","Sep 10, 2020",1.0
45,Offer Withdrawn,,,,"May 27, 2020",1.0
46,Bid Withdrawn,DANNY,,"40Ξ ($8,107)","May 14, 2020",1.0
47,Offered,,,"299Ξ ($60,811)","May 14, 2020",1.0
48,Bid,DANNY,,"40Ξ ($8,088)","May 14, 2020",1.0
49,Offered,,,"189Ξ ($40,461)","May 08, 2020",1.0
50,Offer Withdrawn,,,,"May 08, 2020",1.0
51,Offered,,,"349Ξ ($91,274)","Feb 22, 2020",1.0
52,Offer Withdrawn,,,,"Feb 22, 2020",1.0
53,Offered,,,"89Ξ ($25,310)","Feb 18, 2020",1.0
54,Offer Withdrawn,,,,"Feb 18, 2020",1.0
55,Offered,,,"699Ξ ($149,453)","Feb 06, 2020",1.0
56,Offer Withdrawn,,,,"Jan 17, 2020",1.0
57,Offered,,,"599Ξ ($87,406)","Dec 10, 2019",1.0
58,Transfer,EliteNFT,EliteCat…,,"Jun 09, 2019",1.0
59,Offered,,,"895Ξ ($155,461)","May 06, 2019",1.0
60,Transfer,EliteCat…,EliteNFT,,"Apr 13, 2019",1.0
61,Transfer,GoWest23,EliteCat…,,"Apr 06, 2019",1.0
62,Sold,0xf5099e,GoWest23,"31Ξ ($5,155)","Apr 06, 2019",1.0
63,Bid Withdrawn,GoWest23,,"21.50Ξ ($3,575)","Apr 06, 2019",1.0
64,Bid,GoWest23,,"21.50Ξ ($3,575)","Apr 06, 2019",1.0
65,Offered,,,"31Ξ ($4,153)","Mar 25, 2019",1.0
66,Offered,,,"32Ξ ($3,824)","Feb 08, 2019",1.0
67,Bid Withdrawn,jmg,,5Ξ ($747),"Jan 03, 2019",1.0
68,Offered,,,"32.14Ξ ($4,210)","Dec 25, 2018",1.0
69,Bid,jmg,,5Ξ ($704),"Dec 24, 2018",1.0
70,Offered,,,"45Ξ ($5,920)","Dec 23, 2018",1.0
71,Offered,,,"50Ξ ($5,644)","Nov 30, 2018",1.0
72,Offered,,,"75Ξ ($13,727)","Sep 12, 2018",1.0
73,Bid Withdrawn,0x55c016,,0.05Ξ ($50),"Feb 03, 2018",1.0
74,Bid,0x55c016,,0.05Ξ ($24),"Dec 05, 2017",1.0
75,Offered,,,"100Ξ ($46,281)","Dec 03, 2017",1.0
76,Offered,,,"300Ξ ($72,282)","Jul 07, 2017",1.0
77,Transfer,0xa0a59c,0xf5099e,,"Jul 07, 2017",1.0
78,Bid,0x7760e0,,0.05Ξ ($16),"Jun 28, 2017",1.0
79,Offered,,,"300Ξ ($85,842)","Jun 27, 2017",1.0
80,Sold,0xc352b5,0xa0a59c,0.42Ξ ($107),"Jun 26, 2017",1.0
81,Bid,0xa0a59c,,0.42Ξ ($107),"Jun 26, 2017",1.0
82,Bid,0x717403,,0.35Ξ ($98),"Jun 25, 2017",1.0
83,Bid,sov,,0.35Ξ ($98),"Jun 25, 2017",1.0
84,Bid,0xa0a59c,,<0.01Ξ ($1),"Jun 25, 2017",1.0
85,Bid Withdrawn,sov,,0.20Ξ ($61),"Jun 24, 2017",1.0
86,Bid,sov,,0.20Ξ ($61),"Jun 24, 2017",1.0
87,Claimed,,0xc352b5,,"Jun 23, 2017",1.0
88,Transfer,0xc352b5,0x897aea,,"Jun 09, 2021",2.0
89,Bid,0x7f6498,,<0.01Ξ ($6),"Jun 04, 2021",2.0
90,Bid Withdrawn,0x4c9692,,"9.50Ξ ($12,718)","Jan 30, 2021",2.0
91,Bid,0x4c9692,,"9.50Ξ ($12,783)","Jan 28, 2021",2.0
92,Bid Withdrawn,DANNY,,"20Ξ ($6,914)","Sep 21, 2020",2.0
93,Bid,DANNY,,"20Ξ ($7,400)","Sep 20, 2020",2.0
94,Bid Withdrawn,0x9b35db,,"9Ξ ($3,532)","Aug 24, 2020",2.0
95,Bid,0x9b35db,,"9Ξ ($3,504)","Aug 22, 2020",2.0
96,Bid Withdrawn,natealex,,"8Ξ ($1,125)","Jan 07, 2020",2.0
97,Bid,natealex,,"8Ξ ($1,071)","Jan 04, 2020",2.0
98,Bid Withdrawn,jmg,,3.35Ξ ($431),"Jan 01, 2020",2.0
99,Bid,jmg,,3.35Ξ ($433),"Dec 31, 2019",2.0
100,Bid Withdrawn,jmg,,4Ξ ($500),"Dec 28, 2019",2.0
101,Bid,jmg,,4Ξ ($724),"Oct 02, 2019",2.0
102,Bid Withdrawn,jmg,,3.50Ξ ($634),"Oct 02, 2019",2.0
103,Bid,jmg,,3.50Ξ ($634),"Sep 12, 2019",2.0
104,Bid Withdrawn,jmg,,2.70Ξ ($489),"Sep 12, 2019",2.0
105,Bid,jmg,,2.70Ξ ($504),"Aug 25, 2019",2.0
106,Bid,0x7760e0,,1.10Ξ ($270),"Jul 08, 2017",2.0
107,Bid,0x00d7c9,,1.10Ξ ($270),"Jul 08, 2017",2.0
108,Bid,0x7760e0,,1Ξ ($246),"Jul 08, 2017",2.0
109,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",2.0
110,Bid,0x8b27de,,0.51Ξ ($123),"Jul 07, 2017",2.0
111,Bid Withdrawn,0xa0a59c,,0.42Ξ ($117),"Jun 25, 2017",2.0
112,Bid,0xa0a59c,,0.42Ξ ($117),"Jun 25, 2017",2.0
113,Claimed,,0xc352b5,,"Jun 23, 2017",2.0
114,Bid Withdrawn,jmg,,"33Ξ ($11,638)","Oct 04, 2020",3.0
115,Bid,jmg,,"33Ξ ($11,944)","Sep 28, 2020",3.0
116,Bid Withdrawn,Alex3422,,"5Ξ ($1,215)","Jun 06, 2020",3.0
117,Bid,Alex3422,,"5Ξ ($1,197)","Jun 01, 2020",3.0
118,Bid,0x7760e0,,1.10Ξ ($270),"Jul 08, 2017",3.0
119,Bid,0x00d7c9,,1.10Ξ ($270),"Jul 08, 2017",3.0
120,Bid,0x7760e0,,1Ξ ($246),"Jul 08, 2017",3.0
121,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",3.0
122,Bid,0x7760e0,,0.05Ξ ($14),"Jul 02, 2017",3.0
123,Bid Withdrawn,0x00d7c9,,0.37Ξ ($104),"Jun 30, 2017",3.0
124,Bid,0x00d7c9,,0.37Ξ ($117),"Jun 28, 2017",3.0
125,Bid,0x717403,,0.06Ξ ($15),"Jun 26, 2017",3.0
126,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",3.0
127,Bid,0x717403,,0.05Ξ ($13),"Jun 26, 2017",3.0
128,Claimed,,0xc352b5,,"Jun 23, 2017",3.0
129,Bid Withdrawn,notmycir…,,"28Ξ ($109,026)","May 13, 2021",4.0
130,Bid,notmycir…,,"28Ξ ($71,053)","Apr 26, 2021",4.0
131,Bid Withdrawn,natealex,,4.40Ξ ($621),"Jan 06, 2020",4.0
132,Bid,natealex,,4.40Ξ ($589),"Jan 04, 2020",4.0
133,Bid Withdrawn,Carlini8,,2Ξ ($255),"Jan 03, 2020",4.0
134,Bid,Carlini8,,2Ξ ($264),"Jan 01, 2020",4.0
135,Bid Withdrawn,jmg,,2Ξ ($250),"Dec 28, 2019",4.0
136,Bid,jmg,,2Ξ ($373),"Aug 25, 2019",4.0
137,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",4.0
138,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",4.0
139,Bid,ddaavvee,,0.10Ξ ($28),"Jun 25, 2017",4.0
140,Claimed,,0xc352b5,,"Jun 23, 2017",4.0
141,Bid,vengist,,"4.20Ξ ($11,322)","Apr 29, 2021",5.0
142,Bid Withdrawn,0x2d0f9c,,"3Ξ ($6,037)","Apr 04, 2021",5.0
143,Bid,0x2d0f9c,,"3Ξ ($6,115)","Apr 03, 2021",5.0
144,(Wrap),0xfd9065,WrappedC…,,"Feb 04, 2021",5.0
145,Transfer,0xe34bde,0xfd9065,,"Feb 04, 2021",5.0
146,Transfer,0xc352b5,0xe34bde,,"Feb 04, 2021",5.0
147,Bid Withdrawn,0xce6259,,"1.25Ξ ($1,613)","Jan 27, 2021",5.0
148,Bid,0xce6259,,"1.25Ξ ($1,635)","Jan 27, 2021",5.0
149,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",5.0
150,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",5.0
151,Bid Withdrawn,0x717403,,0.06Ξ ($16),"Jul 04, 2017",5.0
152,Bid,0x717403,,0.06Ξ ($15),"Jun 26, 2017",5.0
153,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",5.0
154,Claimed,,0xc352b5,,"Jun 23, 2017",5.0
155,Bid Withdrawn,s19m.eth,,0.06Ξ ($127),"Jun 30, 2021",6.0
156,Bid,s19m.eth,,0.06Ξ ($130),"Jun 30, 2021",6.0
157,Bid Withdrawn,TokenAng…,,"10Ξ ($10,126)","Jan 04, 2021",6.0
158,Bid,TokenAng…,,"10Ξ ($7,350)","Jan 01, 2021",6.0
159,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",6.0
160,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",6.0
161,Bid,0x717403,,0.06Ξ ($15),"Jun 26, 2017",6.0
162,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",6.0
163,Claimed,,0xc352b5,,"Jun 23, 2017",6.0
164,Bid Withdrawn,Michel_M…,,1.75Ξ ($551),"Jul 26, 2020",7.0
165,Bid,Michel_M…,,1.75Ξ ($428),"Jul 13, 2020",7.0
166,Bid Withdrawn,jmg,,6Ξ ($965),"Jan 25, 2020",7.0
167,Bid,jmg,,6Ξ ($960),"Jan 25, 2020",7.0
168,Bid,MrTpunks,,5.50Ξ ($898),"Jan 24, 2020",7.0
169,Bid,jmg,,5Ξ ($816),"Jan 24, 2020",7.0
170,Bid Withdrawn,Pranksy,,1Ξ ($136),"Jan 05, 2020",7.0
171,Bid,Pranksy,,1Ξ ($132),"Jan 01, 2020",7.0
172,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",7.0
173,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",7.0
174,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",7.0
175,Claimed,,0xc352b5,,"Jun 23, 2017",7.0
176,Bid Withdrawn,0x516358,,"30Ξ ($68,985)","Apr 13, 2021",8.0
177,Bid,0x516358,,"30Ξ ($62,427)","Apr 09, 2021",8.0
178,Bid Withdrawn,0x516358,,"20Ξ ($41,618)","Apr 09, 2021",8.0
179,Bid,0x516358,,"20Ξ ($40,949)","Apr 05, 2021",8.0
180,Bid,kskum,,"2Ξ ($3,618)","Mar 16, 2021",8.0
181,Bid Withdrawn,Michel_M…,,2.15Ξ ($945),"Aug 14, 2020",8.0
182,Bid,Michel_M…,,2.15Ξ ($918),"Aug 14, 2020",8.0
183,Bid Withdrawn,MBK,,2Ξ ($409),"May 24, 2020",8.0
184,Bid,MBK,,2Ξ ($422),"May 21, 2020",8.0
185,Bid Withdrawn,jmg,,5Ξ ($804),"Jan 25, 2020",8.0
186,Bid,jmg,,5Ξ ($808),"Jan 24, 2020",8.0
187,Bid Withdrawn,0x43b89f,,0.10Ξ ($31),"Oct 18, 2017",8.0
188,Bid,0x43b89f,,0.10Ξ ($38),"Aug 30, 2017",8.0
189,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",8.0
190,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",8.0
191,Bid,0x8b27de,,0.49Ξ ($118),"Jul 07, 2017",8.0
192,Bid,0x717403,,0.06Ξ ($15),"Jun 26, 2017",8.0
193,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",8.0
194,Claimed,,0xc352b5,,"Jun 23, 2017",8.0
195,Bid Withdrawn,jmg,,"36Ξ ($13,597)","Oct 14, 2020",9.0
196,Bid,jmg,,"36Ξ ($13,669)","Oct 13, 2020",9.0
197,Bid Withdrawn,jmg,,"27.50Ξ ($9,493)","Oct 02, 2020",9.0
198,Bid,jmg,,"27.50Ξ ($9,986)","Sep 28, 2020",9.0
199,Bid,jmg,,"25Ξ ($8,839)","Sep 26, 2020",9.0
200,Bid Withdrawn,jmg,,"20Ξ ($7,071)","Sep 26, 2020",9.0
201,Bid,jmg,,"20Ξ ($7,400)","Sep 20, 2020",9.0
202,Bid Withdrawn,Alex3422,,"6Ξ ($1,443)","Jun 04, 2020",9.0
203,Bid,Alex3422,,"6Ξ ($1,437)","Jun 01, 2020",9.0
204,Bid Withdrawn,Pranksy,,4Ξ ($794),"May 22, 2020",9.0
205,Bid,Pranksy,,4Ξ ($839),"May 20, 2020",9.0
206,Bid Withdrawn,jmg,,5Ξ ($804),"Jan 25, 2020",9.0
207,Bid,jmg,,5Ξ ($832),"Jan 20, 2020",9.0
208,Bid Withdrawn,jmg,,2Ξ ($362),"Sep 12, 2019",9.0
209,Bid,jmg,,2Ξ ($377),"Aug 26, 2019",9.0
210,Bid Withdrawn,0xa1179f,,1.80Ξ ($314),"Apr 18, 2019",9.0
211,Bid,0xa1179f,,1.80Ξ ($301),"Apr 17, 2019",9.0
212,Bid Withdrawn,jmg,,1.50Ξ ($263),"Apr 07, 2019",9.0
213,Bid,jmg,,1.50Ξ ($217),"Mar 29, 2019",9.0
214,Bid Withdrawn,jmg,,1.50Ξ ($217),"Mar 29, 2019",9.0
215,Bid,jmg,,1.50Ξ ($217),"Mar 29, 2019",9.0
216,Bid Withdrawn,0x00bd3a,,1.25Ξ ($924),"Dec 29, 2017",9.0
217,Bid,0x00bd3a,,1.25Ξ ($282),"Jul 24, 2017",9.0
218,Bid Withdrawn,0x00bd3a,,1.20Ξ ($274),"Jul 23, 2017",9.0
219,Bid,0x00bd3a,,1.20Ξ ($260),"Jul 21, 2017",9.0
220,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",9.0
221,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",9.0
222,Bid Withdrawn,0xa0a59c,,0.20Ξ ($48),"Jul 07, 2017",9.0
223,Bid,0xa0a59c,,0.20Ξ ($63),"Jun 28, 2017",9.0
224,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",9.0
225,Claimed,,0xc352b5,,"Jun 23, 2017",9.0
226,Bid Withdrawn,0xddfdcb,,"25.50Ξ ($45,336)","Mar 21, 2021",10.0
227,Bid,0xddfdcb,,"25.50Ξ ($46,570)","Mar 19, 2021",10.0
228,Bid Withdrawn,0x00d7c9,,0.60Ξ ($123),"Jul 10, 2017",10.0
229,Bid,0x00d7c9,,0.60Ξ ($123),"Jul 10, 2017",10.0
230,Bid Withdrawn,0x00d7c9,,1Ξ ($238),"Jul 09, 2017",10.0
231,Bid,0x00d7c9,,1Ξ ($246),"Jul 08, 2017",10.0
232,Bid Withdrawn,0x7ebcda,,0.60Ξ ($145),"Jul 07, 2017",10.0
233,Bid,0x7ebcda,,0.60Ξ ($145),"Jul 07, 2017",10.0
234,Bid,0x717403,,0.06Ξ ($15),"Jun 26, 2017",10.0
235,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",10.0
236,Claimed,,0xc352b5,,"Jun 23, 2017",10.0
237,Claimed,,0xc352b5,,"Jun 23, 2017",11.0
238,Bid Withdrawn,Pranksy,,0.50Ξ ($65),"Jan 02, 2020",12.0
239,Bid,Pranksy,,0.50Ξ ($66),"Jan 01, 2020",12.0
240,Bid,0x717403,,0.05Ξ ($13),"Jun 26, 2017",12.0
241,Claimed,,0xc352b5,,"Jun 23, 2017",12.0
242,Bid Withdrawn,daddykal…,,"42Ξ ($116,917)","Jun 07, 2021",13.0
243,Bid,daddykal…,,"42Ξ ($112,400)","Jun 06, 2021",13.0
244,Bid Withdrawn,0x983ace,,"70Ξ ($149,334)","Apr 12, 2021",13.0
245,Bid,0x983ace,,"70Ξ ($149,995)","Apr 12, 2021",13.0
246,Bid Withdrawn,0x4eb676,,"53.33Ξ ($81,801)","Mar 05, 2021",13.0
247,Bid,0x4eb676,,"53.33Ξ ($81,654)","Mar 05, 2021",13.0
248,Bid Withdrawn,Pranksy,,"15Ξ ($21,074)","Feb 02, 2021",13.0
249,Bid,Pranksy,,"15Ξ ($19,917)","Feb 01, 2021",13.0
250,Bid Withdrawn,jmg,,"13Ξ ($4,910)","Oct 14, 2020",13.0
251,Bid,jmg,,"13Ξ ($4,538)","Oct 03, 2020",13.0
252,Bid Withdrawn,Pranksy,,3.33Ξ ($661),"May 22, 2020",13.0
253,Bid,Pranksy,,3.33Ξ ($699),"May 20, 2020",13.0
254,Bid Withdrawn,jmg,,3.50Ξ ($477),"Jan 09, 2020",13.0
255,Bid,jmg,,3.50Ξ ($506),"Jan 07, 2020",13.0
256,Bid Withdrawn,jmg,,2Ξ ($289),"Jan 07, 2020",13.0
257,Bid,jmg,,2Ξ ($263),"Jan 01, 2020",13.0
258,Bid,0x717403,,0.05Ξ ($13),"Jun 26, 2017",13.0
259,Claimed,,0xc352b5,,"Jun 23, 2017",13.0
260,Bid Withdrawn,0xe369a8,,"33.25Ξ ($64,905)","Feb 20, 2021",14.0
261,Bid,0xe369a8,,"33.25Ξ ($64,905)","Feb 20, 2021",14.0
262,Bid Withdrawn,0xe369a8,,"33Ξ ($66,189)","Feb 20, 2021",14.0
263,Bid,0xe369a8,,"33Ξ ($66,189)","Feb 20, 2021",14.0
264,Bid Withdrawn,0xe369a8,,"34Ξ ($68,201)","Feb 20, 2021",14.0
265,Bid,0xe369a8,,"34Ξ ($68,246)","Feb 20, 2021",14.0
266,Offered,,,"555Ξ ($986,357)","Feb 17, 2021",14.0
267,Offered,,,"444Ξ ($736,920)","Feb 07, 2021",14.0
268,Bid Withdrawn,robers,,0.50Ξ ($83),"Apr 10, 2020",14.0
269,Bid,robers,,0.50Ξ ($86),"Apr 22, 2019",14.0
270,Offer Withdrawn,,,,"Dec 08, 2018",14.0
271,Offered,,,5.50Ξ ($515),"Dec 07, 2018",14.0
272,Sold,0x582fa7,0x7c00c9…,2.50Ξ ($234),"Dec 07, 2018",14.0
273,Offered,,,"2.50Ξ ($1,884)","Dec 26, 2017",14.0
274,Sold,0xd8e806,0x582fa7,1.85Ξ ($351),"Jul 17, 2017",14.0
275,Offered,,,1.85Ξ ($365),"Jul 14, 2017",14.0
276,Offered,,,1.90Ξ ($375),"Jul 14, 2017",14.0
277,Offered,,,2Ξ ($394),"Jul 14, 2017",14.0
278,Sold,0xc352b5,0xd8e806,0.90Ξ ($185),"Jul 13, 2017",14.0
279,Offered,,,0.90Ξ ($185),"Jul 13, 2017",14.0
280,Bid,0x3a6372,,0.10Ξ ($22),"Jul 12, 2017",14.0
281,Bid Withdrawn,Hemba,,0.61Ξ ($145),"Jul 09, 2017",14.0
282,Bid,Hemba,,0.61Ξ ($145),"Jul 09, 2017",14.0
283,Bid,0x717403,,0.33Ξ ($88),"Jul 06, 2017",14.0
284,Bid,0x6611fe,,0.33Ξ ($88),"Jul 06, 2017",14.0
285,Bid,0x7760e0,,0.10Ξ ($28),"Jul 02, 2017",14.0
286,Bid,0x6611fe,,0.10Ξ ($28),"Jul 02, 2017",14.0
287,Bid,0x7760e0,,0.05Ξ ($16),"Jun 28, 2017",14.0
288,Bid Withdrawn,0x00d7c9,,0.36Ξ ($114),"Jun 28, 2017",14.0
289,Bid,0x00d7c9,,0.36Ξ ($114),"Jun 28, 2017",14.0
290,Bid,0x717403,,0.05Ξ ($14),"Jun 25, 2017",14.0
291,Claimed,,0xc352b5,,"Jun 23, 2017",14.0
292,Bid Withdrawn,runhot99…,,"57.50Ξ ($123,576)","Apr 18, 2021",15.0
293,Bid,runhot99…,,"57.50Ξ ($131,713)","Apr 18, 2021",15.0
294,Bid Withdrawn,TokenAng…,,"50Ξ ($80,008)","Feb 25, 2021",15.0
295,Bid,TokenAng…,,"50Ξ ($94,707)","Feb 21, 2021",15.0
296,Bid Withdrawn,opal.eth,,"15Ξ ($29,211)","Feb 20, 2021",15.0
297,Bid,opal.eth,,"15Ξ ($29,170)","Feb 20, 2021",15.0
298,Bid Withdrawn,0x2e2e26,,0.75Ξ ($276),"Oct 01, 2020",15.0
299,Bid,0x2e2e26,,0.75Ξ ($89),"Dec 22, 2018",15.0
300,Bid,0x717403,,0.10Ξ ($28),"Jun 25, 2017",15.0
301,Bid,0x00d7c9,,0.10Ξ ($30),"Jun 24, 2017",15.0
302,Claimed,,0xc352b5,,"Jun 23, 2017",15.0
303,Bid Withdrawn,0x83e0bb,,"1.60Ξ ($3,385)","Apr 05, 2021",16.0
304,Bid,0x83e0bb,,"1.60Ξ ($3,011)","Mar 31, 2021",16.0
305,Claimed,,0xc352b5,,"Jun 23, 2017",16.0
306,Bid,0x682b2a,,0.10Ξ ($222),"Apr 20, 2021",17.0
307,Bid,0x565590,,0.02Ξ ($26),"Mar 07, 2021",17.0
308,Bid,0x118ee7,,<0.01Ξ ($0),"Mar 10, 2020",17.0
309,Claimed,,0xc352b5,,"Jun 23, 2017",17.0
310,Claimed,,0xc352b5,,"Jun 23, 2017",18.0
311,Bid Withdrawn,Dude_Nak…,,2.30Ξ ($470),"May 26, 2020",19.0
312,Bid,Dude_Nak…,,2.30Ξ ($464),"May 22, 2020",19.0
313,Claimed,,0xc352b5,,"Jun 23, 2017",19.0
314,Bid Withdrawn,0x7e152b,,"28Ξ ($93,739)","May 05, 2021",20.0
315,Bid,0x7e152b,,"28Ξ ($94,399)","May 05, 2021",20.0
316,Bid Withdrawn,0x516358,,"20Ξ ($41,618)","Apr 09, 2021",20.0
317,Bid,0x516358,,"20Ξ ($42,231)","Apr 07, 2021",20.0
318,Claimed,,0xc352b5,,"Jun 23, 2017",20.0
319,Bid Withdrawn,magicdhz…,,"21Ξ ($44,643)","Apr 12, 2021",21.0
320,Bid,magicdhz…,,"21Ξ ($44,569)","Apr 11, 2021",21.0
321,Claimed,,0xc352b5,,"Jun 23, 2017",21.0
322,Bid Withdrawn,m01222,,"6.50Ξ ($2,381)","Oct 16, 2020",22.0
323,Bid,m01222,,"6.50Ξ ($2,484)","Oct 13, 2020",22.0
324,Bid Withdrawn,Pranksy,,"9Ξ ($1,858)","May 27, 2020",22.0
325,Bid,Pranksy,,"9Ξ ($1,853)","May 27, 2020",22.0
326,Bid Withdrawn,Pranksy,,"8Ξ ($1,614)","May 27, 2020",22.0
327,Bid,Pranksy,,"8Ξ ($1,627)","May 26, 2020",22.0
328,Bid Withdrawn,Pranksy,,4Ξ ($794),"May 22, 2020",22.0
329,Bid,Pranksy,,4Ξ ($839),"May 20, 2020",22.0
330,Bid Withdrawn,Alex3422,,5Ξ ($833),"Jan 26, 2020",22.0
331,Bid,Alex3422,,5Ξ ($815),"Jan 26, 2020",22.0
332,Bid Withdrawn,Pranksy,,3.99Ξ ($608),"Jan 14, 2020",22.0
333,Bid,Pranksy,,3.99Ξ ($575),"Jan 14, 2020",22.0
334,Bid,Pranksy,,2.50Ξ ($360),"Jan 14, 2020",22.0
335,Bid Withdrawn,Pranksy,,1.25Ξ ($170),"Jan 05, 2020",22.0
336,Bid,Pranksy,,1.25Ξ ($165),"Jan 01, 2020",22.0
337,Bid Withdrawn,Zieg,,0.80Ξ ($161),"Jul 31, 2017",22.0
338,Bid,Zieg,,0.80Ξ ($161),"Jul 31, 2017",22.0
339,Bid Withdrawn,Hemba,,0.51Ξ ($136),"Jul 06, 2017",22.0
340,Bid,Hemba,,0.51Ξ ($136),"Jul 06, 2017",22.0
341,Bid,0x7760e0,,0.10Ξ ($28),"Jul 02, 2017",22.0
342,Bid,0x6611fe,,0.10Ξ ($28),"Jul 02, 2017",22.0
343,Bid,0x717403,,0.06Ξ ($15),"Jun 26, 2017",22.0
344,Bid,0x9be1c7,,0.06Ξ ($15),"Jun 26, 2017",22.0
345,Bid,0x717403,,0.05Ξ ($14),"Jun 25, 2017",22.0
346,Claimed,,0xc352b5,,"Jun 23, 2017",22.0
347,Bid Withdrawn,0x10ae9f,,0.10Ξ ($74),"Dec 27, 2017",23.0
348,Bid,0x10ae9f,,0.10Ξ ($74),"Dec 27, 2017",23.0
349,Bid,0xd80c8c,,0.02Ξ ($16),"Dec 13, 2017",23.0
