id,type_id,rarity,skin_id,total_traits,total_hidden_traits
456,4,792,5,3,0
457,4,957,7,4,0
458,4,6117,6,3,0
459,4,6776,5,3,0
460,4,4019,5,1,0
461,5,123,6,5,0
462,4,4335,5,2,0
463,4,4085,5,3,0
464,4,5953,7,2,0
465,5,9057,5,2,0
466,4,4839,6,3,0
467,5,2385,7,2,0
468,4,3143,6,3,0
469,4,7634,5,1,0
470,5,8082,6,1,0
471,4,8882,5,3,0
472,5,8449,5,2,0
473,4,6695,5,3,0
474,5,2500,6,2,0
475,5,653,5,2,0
476,5,8040,4,1,0
477,4,7613,7,4,0
478,5,9053,7,2,0
479,4,7826,5,2,0
480,5,3060,6,2,0
481,4,788,7,3,0
482,5,9552,6,2,0
483,5,3738,6,2,0
484,4,6721,6,2,0
485,4,8909,5,2,0
486,4,1792,7,4,0
487,5,1733,7,2,0
488,4,8043,5,1,0
489,5,2363,7,3,1
490,4,7485,5,2,0
491,5,656,6,2,0
492,5,1988,6,3,0
493,4,7475,6,3,0
494,5,1716,5,2,0
495,4,5165,6,2,0
496,4,4325,5,2,0
497,4,6771,7,4,0
498,4,6594,6,2,0
499,5,1214,6,2,0
500,5,414,6,3,0
501,5,2778,7,1,0
502,5,197,7,2,1
503,4,6975,6,3,0
504,4,5115,6,2,0
505,5,165,5,3,1
506,4,6978,7,2,0
507,4,9667,7,2,0
508,5,3106,7,2,0
509,4,8948,7,2,0
510,5,9520,5,2,0
511,4,9,7,0,0
512,4,9967,7,2,0
513,4,4995,5,2,0
514,4,8053,6,1,0
515,5,2797,4,3,0
516,4,7006,4,2,0
517,4,1384,7,3,0
518,4,7243,7,3,0
519,4,7969,7,3,0
520,4,8083,6,1,0
521,4,4809,6,3,0
522,5,2155,4,1,0
523,5,2330,6,2,0
524,4,4379,7,2,0
525,4,3205,5,2,0
526,5,2430,7,4,1
527,4,2362,4,2,0
528,5,1646,6,3,0
529,5,8072,6,1,0
530,5,8038,7,1,0
531,5,2167,7,1,0
532,4,8944,5,2,0
533,5,8058,5,1,0
534,4,936,6,2,0
535,5,600,5,2,0
536,4,6650,7,3,0
537,4,4886,5,3,0
538,5,740,5,2,0
539,5,5752,7,3,0
540,4,6602,4,3,0
541,4,9146,6,2,0
542,4,5149,6,3,0
543,4,3528,7,4,0
544,4,6719,7,3,0
545,4,8047,7,1,0
546,5,8001,5,2,0
547,4,5262,7,3,0
548,5,8947,7,2,0
549,5,9431,5,2,0
550,4,4430,4,1,0
551,4,860,7,2,0
552,4,7832,7,2,0
553,4,5963,7,3,0
554,5,6509,5,2,0
555,5,9575,5,2,0
556,4,9188,5,3,0
557,4,9626,5,2,0
558,4,6781,5,3,0
559,4,9066,4,2,0
560,5,8077,7,1,0
561,5,2351,7,2,0
562,4,795,7,2,0
563,4,1042,7,3,0
564,5,2544,6,4,1
565,4,1853,5,2,0
566,4,4508,7,1,0
567,5,8092,7,1,0
568,4,8021,5,2,0
569,4,7629,4,2,0
570,5,8917,7,2,0
571,4,7644,4,3,0
572,5,644,6,2,0
573,4,7452,5,2,0
574,5,1266,7,3,1
575,4,7370,6,2,0
576,5,9432,6,2,0
577,5,3713,4,2,0
578,4,942,7,2,0
579,4,3768,7,2,0
580,5,1741,5,2,1
581,5,3665,5,2,0
582,5,1210,7,3,0
583,4,8027,5,1,0
584,4,7487,6,2,0
585,5,2399,5,2,0
586,5,748,5,2,1
