,Amount,From,To,Txn,Type,punk_id,amount_ethereum,amount_dollars
12924,"18Ξ ($34,115)",mnemonic…,,"Jun 22, 2021",Bid,1475.0,18.0,34115.0
12946,"29Ξ ($53,105)",0xba3fc4,,"Mar 20, 2021",Bid,1475.0,29.0,53105.0
12955,"422.65Ξ ($862,920)",0xf3016b,,"Jul 12, 2021",Bid Withdrawn,1478.0,422.65,862920.0
12956,"422.65Ξ ($862,920)",0xf3016b,,"Jul 12, 2021",Bid,1478.0,422.65,862920.0
12957,"10Ξ ($2,076)",TokenAng…,,"May 23, 2020",Bid Withdrawn,1478.0,10.0,2076.0
12958,"10Ξ ($2,016)",TokenAng…,,"May 22, 2020",Bid,1478.0,10.0,2016.0
12959,5Ξ ($892),Catdog,,"Apr 19, 2020",Bid Withdrawn,1478.0,5.0,892.0
12960,5Ξ ($767),Catdog,,"Apr 13, 2020",Bid,1478.0,5.0,767.0
12961,2Ξ ($362),jmg,,"Sep 12, 2019",Bid Withdrawn,1478.0,2.0,362.0
12962,2Ξ ($377),jmg,,"Aug 26, 2019",Bid,1478.0,2.0,377.0
12964,1.75Ξ ($430),0x00bd3a,,"Jul 08, 2017",Bid Withdrawn,1478.0,1.75,430.0
12965,1.75Ξ ($430),0x00bd3a,,"Jul 08, 2017",Bid,1478.0,1.75,430.0
12966,1.51Ξ ($371),0x7760e0,,"Jul 08, 2017",Bid,1478.0,1.51,371.0
12967,1.51Ξ ($371),0x00d7c9,,"Jul 08, 2017",Bid,1478.0,1.51,371.0
12968,1Ξ ($266),0x7760e0,,"Jul 06, 2017",Bid,1478.0,1.0,266.0
12969,1Ξ ($266),0x00d7c9,,"Jul 06, 2017",Bid,1478.0,1.0,266.0
12970,1.68Ξ ($447),Hemba,,"Jul 06, 2017",Bid Withdrawn,1478.0,1.68,447.0
12971,1.68Ξ ($447),Hemba,,"Jul 05, 2017",Bid,1478.0,1.68,447.0
12972,1.43Ξ ($380),0x717403,,"Jul 05, 2017",Bid,1478.0,1.43,380.0
12973,1.43Ξ ($380),Hemba,,"Jul 05, 2017",Bid,1478.0,1.43,380.0
12974,0.50Ξ ($142),0x7760e0,,"Jul 02, 2017",Bid,1478.0,0.5,142.0
12975,0.50Ξ ($146),ddaavvee,,"Jun 29, 2017",Bid,1478.0,0.5,146.0
12976,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid Withdrawn,1478.0,0.05,14.0
12977,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid,1478.0,0.05,14.0
12981,1.70Ξ ($347),Pranksy,,"May 25, 2020",Bid Withdrawn,1479.0,1.7,347.0
12982,1.70Ξ ($351),Pranksy,,"May 24, 2020",Bid,1479.0,1.7,351.0
12985,1Ξ ($187),scalynel…,,"Apr 25, 2020",Bid,1479.0,1.0,187.0
12989,"3.75Ξ ($4,600)",0x566f19,,"Jan 09, 2021",Bid Withdrawn,1480.0,3.75,4600.0
12990,"3.75Ξ ($4,556)",0x566f19,,"Jan 07, 2021",Bid,1480.0,3.75,4556.0
12991,"3Ξ ($3,581)",0x566f19,,"Jan 06, 2021",Bid Withdrawn,1480.0,3.0,3581.0
12992,"3Ξ ($3,462)",0x566f19,,"Jan 06, 2021",Bid,1480.0,3.0,3462.0
12993,"3Ξ ($2,063)",Pranksy,,"Dec 27, 2020",Bid Withdrawn,1480.0,3.0,2063.0
12994,"3Ξ ($1,906)",Pranksy,,"Dec 26, 2020",Bid,1480.0,3.0,1906.0
13003,0.31Ξ ($69),0x00b278,,"Jul 18, 2017",Bid,1482.0,0.31,69.0
13007,"80Ξ ($170,685)",0x78b58e,,"Apr 10, 2021",Bid Withdrawn,1483.0,80.0,170685.0
13008,"80Ξ ($167,437)",0x78b58e,,"Apr 10, 2021",Bid,1483.0,80.0,167437.0
13011,"5.50Ξ ($6,765)",0x13c0da,,"Jan 21, 2021",Bid Withdrawn,1483.0,5.5,6765.0
13012,"5.50Ξ ($6,809)",0x13c0da,,"Jan 18, 2021",Bid,1483.0,5.5,6809.0
13014,"5Ξ ($6,010)",district…,,"Jan 07, 2021",Bid,1483.0,5.0,6010.0
13015,0.26Ξ ($64),0x7760e0,,"Jul 08, 2017",Bid,1483.0,0.26,64.0
13016,0.26Ξ ($64),0x5b098b,,"Jul 08, 2017",Bid,1483.0,0.26,64.0
13017,0.06Ξ ($15),0x717403,,"Jun 26, 2017",Bid,1483.0,0.06,15.0
13018,0.06Ξ ($15),0x9be1c7,,"Jun 26, 2017",Bid,1483.0,0.06,15.0
13019,0.05Ξ ($13),0x717403,,"Jun 26, 2017",Bid,1483.0,0.05,13.0
13021,"1.50Ξ ($2,207)",0x967ee5,,"Mar 01, 2021",Bid Withdrawn,1484.0,1.5,2207.0
13022,"1.50Ξ ($2,049)",0x967ee5,,"Feb 28, 2021",Bid,1484.0,1.5,2049.0
13024,0.04Ξ ($5),0x5b68ee,,"Mar 09, 2019",Bid,1484.0,0.04,5.0
13037,0.50Ξ ($120),AZonneve…,,"May 31, 2020",Bid Withdrawn,1488.0,0.5,120.0
13038,0.50Ξ ($107),AZonneve…,,"May 20, 2020",Bid,1488.0,0.5,107.0
13041,"26Ξ ($105,454)",0x4bc412,,"May 10, 2021",Bid Withdrawn,1489.0,26.0,105454.0
13044,"26Ξ ($55,018)",0x4bc412,,"Apr 06, 2021",Bid,1489.0,26.0,55018.0
13045,"24Ξ ($50,800)",0x62bdc6,,"Apr 06, 2021",Bid,1489.0,24.0,50800.0
13056,0.44Ξ ($587),0x8c6e56,,"Jan 24, 2021",Bid Withdrawn,1489.0,0.44,587.0
13057,0.44Ξ ($552),0x8c6e56,,"Jan 17, 2021",Bid,1489.0,0.44,552.0
13060,"25.50Ξ ($45,497)",0xa58ff1,,"Mar 19, 2021",Bid,1490.0,25.5,45497.0
13061,"24Ξ ($42,713)",0xa58ff1,,"Mar 18, 2021",Bid Withdrawn,1490.0,24.0,42713.0
13062,"24Ξ ($42,278)",0xa58ff1,,"Mar 12, 2021",Bid,1490.0,24.0,42278.0
13070,"3.60Ξ ($2,092)",0xf65e16,,"Dec 24, 2020",Bid Withdrawn,1490.0,3.6,2092.0
13071,"3.60Ξ ($2,154)",0xf65e16,,"Dec 23, 2020",Bid,1490.0,3.6,2154.0
13072,"3Ξ ($1,843)",0xa4edbd,,"Dec 23, 2020",Bid,1490.0,3.0,1843.0
13077,"4Ξ ($1,387)",Carlini8,,"Oct 06, 2020",Bid Withdrawn,1491.0,4.0,1387.0
13078,"4Ξ ($1,412)",Carlini8,,"Oct 06, 2020",Bid,1491.0,4.0,1412.0
13081,0.30Ξ ($62),0x96cda1,,"Jul 13, 2017",Bid,1492.0,0.3,62.0
13082,0.28Ξ ($53),0x5b098b,,"Jul 11, 2017",Bid,1492.0,0.28,53.0
13083,0.22Ξ ($55),0x0a4eaf…,,"Jul 08, 2017",Bid,1492.0,0.22,55.0
13085,0.20Ξ ($56),0x7760e0,,"Jun 30, 2017",Bid,1492.0,0.2,56.0
13086,0.20Ξ ($56),0x5b098b,,"Jun 30, 2017",Bid,1492.0,0.2,56.0
13087,0.06Ξ ($15),0x717403,,"Jun 26, 2017",Bid,1492.0,0.06,15.0
13088,0.06Ξ ($15),0x9be1c7,,"Jun 26, 2017",Bid,1492.0,0.06,15.0
13089,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid,1492.0,0.05,14.0
13092,"5Ξ ($7,116)",CPyrc,,"Jan 25, 2021",Bid Withdrawn,1493.0,5.0,7116.0
13093,"5Ξ ($6,173)",CPyrc,,"Jan 17, 2021",Bid,1493.0,5.0,6173.0
13094,"3Ξ ($3,521)",0x48db19,,"Jan 17, 2021",Bid,1493.0,3.0,3521.0
13096,0.75Ξ ($825),0xa6bb24,,"Jan 12, 2021",Bid Withdrawn,1494.0,0.75,825.0
13097,0.75Ξ ($927),0xa6bb24,,"Jan 09, 2021",Bid,1494.0,0.75,927.0
13098,<0.01Ξ ($1),0xa452b3,,"May 07, 2018",Bid Withdrawn,1494.0,0.01,1.0
13099,<0.01Ξ ($1),0xa452b3,,"Jan 20, 2018",Bid,1494.0,0.01,1.0
13101,"25Ξ ($78,406)",tentoedt…,,"May 03, 2021",Bid Withdrawn,1495.0,25.0,78406.0
13103,"25Ξ ($69,127)",tentoedt…,,"Apr 30, 2021",Bid,1495.0,25.0,69127.0
13109,"25.99Ξ ($46,330)",elir.eth,,"Mar 17, 2021",Bid,1495.0,25.99,46330.0
13112,1Ξ ($612),6373D,,"Dec 25, 2020",Bid,1496.0,1.0,612.0
13113,0.30Ξ ($80),0x717403,,"Jul 06, 2017",Bid,1496.0,0.3,80.0
13114,0.30Ξ ($80),0x6611fe,,"Jul 06, 2017",Bid,1496.0,0.3,80.0
13115,0.20Ξ ($55),0x7760e0,,"Jul 03, 2017",Bid,1496.0,0.2,55.0
13116,0.20Ξ ($55),0x6611fe,,"Jul 03, 2017",Bid,1496.0,0.2,55.0
13117,0.15Ξ ($43),0x7760e0,,"Jul 02, 2017",Bid,1496.0,0.15,43.0
13118,0.15Ξ ($43),0x6611fe,,"Jul 02, 2017",Bid,1496.0,0.15,43.0
13119,0.10Ξ ($28),0x7760e0,,"Jul 02, 2017",Bid,1496.0,0.1,28.0
13120,0.10Ξ ($28),0x6611fe,,"Jul 02, 2017",Bid,1496.0,0.1,28.0
13121,0.05Ξ ($14),0x717403,,"Jun 25, 2017",Bid,1496.0,0.05,14.0
13127,0.30Ξ ($404),0x65ba4f,,"Jan 30, 2021",Bid Withdrawn,1498.0,0.3,404.0
13128,0.30Ξ ($366),0x65ba4f,,"Jan 17, 2021",Bid,1498.0,0.3,366.0
13146,"4.20Ξ ($2,903)",scalynel…,,"Dec 27, 2020",Bid Withdrawn,1502.0,4.2,2903.0
13147,"4.20Ξ ($2,705)",scalynel…,,"Dec 26, 2020",Bid,1502.0,4.2,2705.0
13167,"11Ξ ($21,177)",0xf54a74,,"Feb 18, 2021",Bid Withdrawn,1506.0,11.0,21177.0
13168,"11Ξ ($21,177)",0xf54a74,,"Feb 18, 2021",Bid,1506.0,11.0,21177.0
13169,"8Ξ ($14,344)",0xc71f4f,,"Feb 16, 2021",Bid Withdrawn,1506.0,8.0,14344.0
13170,"8Ξ ($14,676)",0xc71f4f,,"Feb 15, 2021",Bid,1506.0,8.0,14676.0
13172,"2Ξ ($1,292)",2pac,,"Dec 21, 2020",Bid Withdrawn,1506.0,2.0,1292.0
13173,"2Ξ ($1,300)",2pac,,"Dec 20, 2020",Bid,1506.0,2.0,1300.0
13177,"13.50Ξ ($24,025)",OnlyToas…,,"Feb 16, 2021",Bid Withdrawn,1507.0,13.5,24025.0
13178,"13.50Ξ ($24,342)",OnlyToas…,,"Feb 16, 2021",Bid,1507.0,13.5,24342.0
13180,"13.50Ξ ($24,399)",OnlyToas…,,"Feb 15, 2021",Bid Withdrawn,1507.0,13.5,24399.0
13181,"13.50Ξ ($24,598)",OnlyToas…,,"Feb 15, 2021",Bid,1507.0,13.5,24598.0
13187,0.05Ξ ($13),0x717403,,"Jun 26, 2017",Bid,1507.0,0.05,13.0
13191,"55.99Ξ ($128,334)",0xe3bf86,,"Jul 06, 2021",Bid Withdrawn,1508.0,55.99,128334.0
13192,"55.99Ξ ($127,431)",0xe3bf86,,"Jul 06, 2021",Bid,1508.0,55.99,127431.0
13196,"75Ξ ($186,048)",0xcf8401,,"Apr 17, 2021",Bid Withdrawn,1508.0,75.0,186048.0
13197,"75Ξ ($184,133)",0xcf8401,,"Apr 17, 2021",Bid,1508.0,75.0,184133.0
13208,"30Ξ ($57,391)",CPyrc,,"Feb 18, 2021",Bid,1508.0,30.0,57391.0
13209,"20Ξ ($38,263)",0x07c5ea,,"Feb 18, 2021",Bid,1508.0,20.0,38263.0
13210,"20Ξ ($38,261)",Zonked,,"Feb 18, 2021",Bid,1508.0,20.0,38261.0
13211,"18Ξ ($34,435)",0x07c5ea,,"Feb 18, 2021",Bid,1508.0,18.0,34435.0
13212,"10Ξ ($2,425)",TokenAng…,,"Jun 05, 2020",Bid Withdrawn,1508.0,10.0,2425.0
13213,"10Ξ ($2,096)",TokenAng…,,"May 28, 2020",Bid,1508.0,10.0,2096.0
13214,0.25Ξ ($66),0x7760e0,,"Jul 06, 2017",Bid,1508.0,0.25,66.0
13215,0.25Ξ ($66),0x5b098b,,"Jul 06, 2017",Bid,1508.0,0.25,66.0
13225,"47Ξ ($87,246)",0xef784c,,"Mar 14, 2021",Bid Withdrawn,1510.0,47.0,87246.0
13226,"47Ξ ($86,862)",0xef784c,,"Mar 14, 2021",Bid,1510.0,47.0,86862.0
13227,"22Ξ ($33,867)",0xff0bd4,,"Feb 23, 2021",Bid Withdrawn,1510.0,22.0,33867.0
13229,"22Ξ ($39,235)",0xff0bd4,,"Feb 22, 2021",Bid,1510.0,22.0,39235.0
13232,"21Ξ ($42,162)",0xb74f01,,"Feb 20, 2021",Bid,1510.0,21.0,42162.0
13240,"9Ξ ($15,712)",Party,,"Feb 09, 2021",Bid Withdrawn,1510.0,9.0,15712.0
13241,"9Ξ ($15,712)",Party,,"Feb 09, 2021",Bid,1510.0,9.0,15712.0
13256,"6.50Ξ ($8,743)",0x4c9692,,"Jan 24, 2021",Bid Withdrawn,1510.0,6.5,8743.0
13257,"6.50Ξ ($8,059)",0x4c9692,,"Jan 24, 2021",Bid,1510.0,6.5,8059.0
13259,"8Ξ ($9,814)",comicdao…,,"Jan 09, 2021",Bid Withdrawn,1510.0,8.0,9814.0
13260,"8Ξ ($9,550)",comicdao…,,"Jan 09, 2021",Bid,1510.0,8.0,9550.0
13262,1Ξ ($373),Existenc…,,"Oct 11, 2020",Bid Withdrawn,1510.0,1.0,373.0
13264,1Ξ ($354),Existenc…,,"Sep 29, 2020",Bid,1510.0,1.0,354.0
13265,0.50Ξ ($120),AZonneve…,,"May 31, 2020",Bid Withdrawn,1510.0,0.5,120.0
13266,0.50Ξ ($106),AZonneve…,,"May 20, 2020",Bid,1510.0,0.5,106.0
13267,0.30Ξ ($64),AZonneve…,,"May 20, 2020",Bid Withdrawn,1510.0,0.3,64.0
13268,0.30Ξ ($62),AZonneve…,,"May 17, 2020",Bid,1510.0,0.3,62.0
13269,0.16Ξ ($73),0x89ba62,,"Jun 30, 2018",Bid Withdrawn,1510.0,0.16,73.0
13270,0.16Ξ ($160),0x89ba62,,"Jan 22, 2018",Bid,1510.0,0.16,160.0
13316,"5Ξ ($7,930)",0xdc5556,,"Mar 04, 2021",Bid Withdrawn,1512.0,5.0,7930.0
13318,"5Ξ ($7,913)",0xdc5556,,"Mar 04, 2021",Bid,1512.0,5.0,7913.0
13348,"45Ξ ($106,691)",0x449c69,,"Apr 21, 2021",Bid Withdrawn,1513.0,45.0,106691.0
13351,"45Ξ ($100,748)",0x449c69,,"Apr 19, 2021",Bid,1513.0,45.0,100748.0
13353,"44Ξ ($96,435)",0x449c69,,"Apr 18, 2021",Bid,1513.0,44.0,96435.0
13363,"42Ξ ($90,209)",0x0e9aed,,"Apr 12, 2021",Bid Withdrawn,1513.0,42.0,90209.0
13367,"42Ξ ($90,050)",0x0e9aed,,"Apr 11, 2021",Bid,1513.0,42.0,90050.0
13375,"37Ξ ($75,228)",0x7a612b,,"Apr 05, 2021",Bid Withdrawn,1513.0,37.0,75228.0
13376,"37Ξ ($75,228)",0x7a612b,,"Apr 03, 2021",Bid,1513.0,37.0,75228.0
13381,"31Ξ ($58,236)",heeee.et…,,"Mar 15, 2021",Bid Withdrawn,1513.0,31.0,58236.0
13382,"31Ξ ($58,236)",heeee.et…,,"Mar 15, 2021",Bid,1513.0,31.0,58236.0
13383,"30Ξ ($56,357)",0x62bdc6,,"Mar 15, 2021",Bid,1513.0,30.0,56357.0
13384,"25Ξ ($46,964)",OnlyToas…,,"Mar 15, 2021",Bid,1513.0,25.0,46964.0
13386,"49.69Ξ ($92,914)",0x1a4d11,,"Mar 15, 2021",Bid Withdrawn,1513.0,49.69,92914.0
13387,"49.69Ξ ($93,097)",0x1a4d11,,"Mar 14, 2021",Bid,1513.0,49.69,93097.0
13392,"35Ξ ($62,104)",0xae8658,,"Mar 12, 2021",Bid Withdrawn,1513.0,35.0,62104.0
13393,"35Ξ ($62,256)",0xae8658,,"Mar 12, 2021",Bid,1513.0,35.0,62256.0
13394,"30Ξ ($52,272)",0xe281b9,,"Mar 11, 2021",Bid,1513.0,30.0,52272.0
13400,"1Ξ ($1,458)",darkomav…,,"Feb 02, 2021",Bid Withdrawn,1513.0,1.0,1458.0
13401,"1Ξ ($1,433)",darkomav…,,"Feb 02, 2021",Bid,1513.0,1.0,1433.0
13403,0.10Ξ ($28),0x6611fe,,"Jul 02, 2017",Bid,1513.0,0.1,28.0
13405,"18Ξ ($26,542)",0x36d1b7,,"Mar 05, 2021",Bid Withdrawn,1514.0,18.0,26542.0
13406,"18Ξ ($27,444)",0x36d1b7,,"Mar 04, 2021",Bid,1514.0,18.0,27444.0
13407,"11Ξ ($16,784)",0x36d1b7,,"Mar 04, 2021",Bid Withdrawn,1514.0,11.0,16784.0
