,id,amount_ethereum,amount_dollars,transaction_date
229,9157,17.50Ξ,"($35,476)","Jul 02, 2021"
230,9157,5.70Ξ,"($2,016)","Sep 29, 2020"
231,9157,5.48Ξ,"($1,944)","Sep 29, 2020"
232,9157,0.40Ξ,($69),"May 06, 2019"
233,9158,10Ξ,"($17,635)","Feb 15, 2021"
234,9158,8Ξ,"($14,014)","Feb 15, 2021"
235,9159,79.99Ξ,"($171,255)","Apr 11, 2021"
236,9159,56.50Ξ,"($120,670)","Apr 11, 2021"
237,9159,0.29Ξ,($60),"Jul 10, 2017"
238,9160,100Ξ,"($191,680)","Feb 22, 2021"
239,9160,71Ξ,"($128,979)","Feb 15, 2021"
240,9160,7.99Ξ,"($1,027)","Mar 22, 2020"
241,9160,1.90Ξ,($278),"Feb 18, 2019"
242,9161,19.88Ξ,"($51,848)","May 20, 2021"
243,9161,17Ξ,"($68,710)","May 11, 2021"
244,9162,7.50Ξ,"($9,677)","Jan 27, 2021"
245,9162,5.99Ξ,"($3,850)","Dec 26, 2020"
246,9162,3.49Ξ,"($1,241)","Sep 29, 2020"
247,9162,3.29Ξ,"($1,118)","Sep 23, 2020"
248,9162,2.49Ξ,($964),"Sep 13, 2020"
249,9162,1.40Ξ,($294),"May 20, 2020"
250,9162,0.90Ξ,($123),"Jan 10, 2020"
251,9162,0.10Ξ,($53),"Jun 11, 2018"
252,9163,3.40Ξ,"($1,172)","Sep 25, 2020"
253,9163,1.10Ξ,($444),"Aug 24, 2020"
254,9164,13Ξ,"($24,841)","Feb 19, 2021"
255,9164,12.99Ξ,"($23,590)","Feb 14, 2021"
256,9164,12.60Ξ,"($20,265)","Feb 04, 2021"
257,9167,8.40Ξ,"($11,024)","Jan 27, 2021"
258,9167,7.50Ξ,"($7,603)","Jan 04, 2021"
259,9168,40Ξ,"($111,691)","May 27, 2021"
260,9168,35.50Ξ,"($52,682)","Mar 02, 2021"
261,9170,10Ξ,"($17,518)","Feb 15, 2021"
262,9171,28.50Ξ,"($47,004)","Feb 24, 2021"
263,9171,24.80Ξ,"($44,705)","Feb 22, 2021"
264,9171,21.75Ξ,"($40,843)","Feb 22, 2021"
265,9171,6.50Ξ,"($11,397)","Feb 09, 2021"
266,9173,30Ξ,"($47,857)","Mar 03, 2021"
267,9174,22.88Ξ,"($39,686)","Feb 22, 2021"
268,9174,5.45Ξ,"($1,948)","Sep 29, 2020"
269,9174,4.99Ξ,"($1,812)","Sep 28, 2020"
270,9174,3.90Ξ,"($1,395)","Sep 28, 2020"
271,9174,3.60Ξ,"($1,273)","Sep 26, 2020"
272,9174,3Ξ,"($1,054)","Sep 24, 2020"
273,9175,0.35Ξ,($61),"Apr 20, 2019"
274,9176,18.50Ξ,"($33,417)","Mar 29, 2021"
275,9177,18Ξ,"($32,144)","Jun 26, 2021"
276,9178,10.50Ξ,"($18,718)","Feb 15, 2021"
277,9179,4.99Ξ,"($5,379)","Jan 13, 2021"
278,9180,0.10Ξ,($46),"Dec 03, 2017"
279,9181,0.50Ξ,($89),"Nov 18, 2018"
280,9183,1.80Ξ,($377),"May 17, 2020"
281,9185,0.19Ξ,($59),"Aug 12, 2017"
282,9187,13.50Ξ,"($25,751)","Feb 18, 2021"
283,9187,9.49Ξ,"($17,109)","Feb 17, 2021"
284,9187,0.40Ξ,($69),"May 06, 2019"
285,9188,44.99Ξ,"($95,425)","Jul 11, 2021"
286,9188,37.60Ξ,"($80,500)","Apr 11, 2021"
287,9189,22Ξ,"($54,642)","Apr 17, 2021"
288,9189,20.20Ξ,"($47,459)","Apr 14, 2021"
289,9189,13.37Ξ,"($26,571)","Feb 20, 2021"
290,9189,0.18Ξ,($17),"Dec 07, 2018"
291,9190,21.49Ξ,"($38,376)","Jun 26, 2021"
292,9190,20Ξ,"($52,346)","May 25, 2021"
293,9192,12.65Ξ,"($24,323)","Feb 19, 2021"
294,9192,5.90Ξ,"($7,429)","Jan 24, 2021"
295,9192,2.45Ξ,($918),"Sep 21, 2020"
296,9192,0.90Ξ,($186),"May 17, 2020"
297,9193,32.99Ξ,"($68,544)","Apr 08, 2021"
298,9193,2.50Ξ,($506),"May 14, 2020"
299,9193,0.50Ξ,($87),"Apr 18, 2019"
300,9194,20.50Ξ,"($40,426)","Apr 01, 2021"
301,9194,13.50Ξ,"($22,545)","Feb 06, 2021"
302,9195,0.10Ξ,($59),"May 26, 2018"
303,9197,20Ξ,"($54,142)","Apr 28, 2021"
304,9197,2.49Ξ,($869),"Sep 25, 2020"
305,9197,1.49Ξ,($560),"Sep 14, 2020"
306,9197,0.92Ξ,($187),"May 22, 2020"
307,9198,40Ξ,"($69,913)","Mar 13, 2021"
308,9200,19.98Ξ,"($39,456)","Jul 15, 2021"
309,9200,19.48Ξ,"($39,597)","Jul 13, 2021"
310,9200,19Ξ,"($40,772)","Jul 12, 2021"
311,9203,9.99Ξ,"($2,091)","Apr 29, 2020"
312,9203,5Ξ,($979),"May 13, 2019"
313,9203,1Ξ,($269),"Jul 04, 2017"
314,9204,22.88Ξ,"($56,458)","Apr 15, 2021"
315,9204,4.20Ξ,"($1,471)","Oct 09, 2020"
316,9204,3.52Ξ,"($1,236)","Oct 08, 2020"
317,9204,5.50Ξ,"($1,946)","Oct 05, 2020"
318,9204,5.24Ξ,"($1,897)","Sep 28, 2020"
319,9204,0.45Ξ,($78),"May 06, 2019"
320,9205,36.82Ξ,"($69,487)","Mar 13, 2021"
